,Time,HP,Power up,Player x,Player y,Player speed_x,Player speed_y,Player bullet x,Player bullet y,Player bullet speed_x,Player bullet speed_y,Enemy x,Enemy y,Enemy speed_x,Enemy speed_y,Enemy bullet x,Enemy bullet y,Enemy bullet speed_x,Enemy bullet speed_y
0,8.51,10,False,682,357,0,0,[],[],[],[],"[401, 831, 848, 561, 1245]","[401, 831, 848, 561, 1245]","[394, 80, -423, -432, -195]","[83, 2, 93, 17, 0]",[],[],[],[]
1,8.84,10,False,664,453,-5,8,[],[],[],[],"[565, 851, 668, 391, 1139]","[565, 851, 668, 391, 1139]","[463, 80, -412, -363, -271]","[121, 22, 113, 57, 0]",[],[],[],[]
2,9.16,10,False,675,558,0,0,[713],[610],[2],[5],"[745, 871, 503, 253, 1008]","[745, 871, 503, 253, 1008]","[476, 58, -384, -284, -343]","[121, 22, 112, 77, -20]","[655, 867, 667, 401, 1061]","[708, 675, 747, 620, 813]","[-5, -3, 5, 5, -5]","[2, -4, 0, -3, -2]"
3,9.49,10,False,680,509,0,-9,[753],[710],[2],[5],"[919, 872, 345, 146, 846]","[919, 872, 345, 146, 846]","[433, -2, -346, -200, -407]","[101, 2, 72, 59, -60]","[555, 807, 767, 501, 961]","[748, 595, 747, 560, 773]","[-5, -3, 5, 5, -5]","[2, -4, 0, -3, -2]"
4,9.82,10,False,785,363,7,-6,[],[],[],[],"[1069, 852, 211, 78]","[1069, 852, 211, 78]","[360, -46, -277, -100]","[76, -18, 32, 39]","[455, 747, 867, 601, 861]","[788, 515, 747, 500, 720]","[-5, -3, 5, 5, -5]","[2, -4, 0, -3, -3]"
5,10.16,10,False,959,343,9,3,[],[],[],[],"[1183, 814, 109, 52, 1278]","[1183, 814, 109, 52, 1278]","[258, -86, -185, 15, -140]","[36, -38, -8, 19, -20]","[355, 687, 967, 701, 762, 1036, 900, 320, 211, 1265]","[823, 435, 740, 440, 660, 707, 610, 735, 643, 724]","[-5, -3, 5, 5, -4, -4, 0, 4, 5, -5]","[1, -4, -1, -3, -3, -3, -5, -3, -2, -1]"
6,10.51,10,False,1119,400,8,5,[],[],[],[],"[1251, 761, 47, 73, 1185]","[1251, 761, 47, 73, 1185]","[138, -124, -77, 133, -263]","[-4, -55, -48, -1, -40]","[255, 627, 1067, 801, 682, 956, 900, 400, 311, 1165]","[843, 338, 720, 400, 600, 647, 510, 675, 603, 704]","[-5, -3, 5, 5, -4, -4, 0, 4, 5, -5]","[1, -5, -1, -2, -3, -3, -5, -3, -2, -1]"
7,10.84,10,False,1132,457,0,0,[1159],[519],[-1],[5],"[1273, 701, 33, 139, 1051]","[1273, 701, 33, 139, 1051]","[30, -124, 63, 253, -344]","[-21, -35, -57, -1, -40]","[155, 585, 1167, 901, 602, 876, 900, 480, 411, 1065, 1277, 826, 128, 197, 1174]","[863, 238, 683, 360, 540, 587, 410, 615, 563, 666, 745, 630, 741, 680, 635]","[-5, -2, 5, 5, -4, -4, 0, 4, 5, -5, -4, 5, 5, 5, 2]","[1, -5, -2, -2, -3, -3, -5, -3, -2, -2, -3, -1, -2, 0, -5]"
8,11.18,10,False,1156,320,-3,-9,[1139],[619],[-1],[5],"[1256, 644, 82, 258, 894]","[1256, 644, 82, 258, 894]","[-61, -95, 220, 379, -375]","[-1, 5, -37, 19, -16]","[545, 1267, 1001, 522, 796, 900, 560, 511, 965, 1197, 926, 228, 297, 1214]","[138, 643, 320, 471, 520, 310, 555, 523, 626, 685, 610, 701, 680, 535]","[-2, 5, 5, -4, -4, 0, 4, 5, -5, -4, 5, 5, 5, 2]","[-5, -2, -2, -4, -4, -5, -3, -2, -2, -3, -1, -2, 0, -5]"
9,11.55,9,False,1095,229,0,0,[1124],[719],[0],[5],"[1205, 604, 189, 422, 734]","[1205, 604, 189, 422, 734]","[-141, -55, 357, 476, -375]","[19, 45, -17, 39, 24]","[521, 1357, 450, 716, 900, 640, 611, 865, 1117, 1026, 328, 397, 1248]","[38, 587, 391, 440, 210, 495, 483, 586, 619, 590, 661, 680, 435]","[-1, 4, -3, -4, 0, 4, 5, -5, -4, 5, 5, 5, 1]","[-5, -3, -4, -4, -5, -3, -2, -2, -4, -1, -2, 0, -5]"
