,Time,HP,Power up,Player x,Player y,Player speed_x,Player speed_y,Player bullet x,Player bullet y,Player bullet speed_x,Player bullet speed_y,Enemy x,Enemy y,Enemy speed_x,Enemy speed_y,Enemy bullet x,Enemy bullet y,Enemy bullet speed_x,Enemy bullet speed_y
0,8.6,10,False,910,534,0,0,[],[],[],[],"[933, 1379, 1007, 323]","[933, 1379, 1007, 323]","[-284, 79, 390, -144]","[59, 58, 57, 24]",[],[],[],[]
1,8.93,10,False,906,576,0,9,[],[],[],[],"[813, 1376, 1143, 277]","[813, 1376, 1143, 277]","[-295, -41, 339, -44]","[79, 98, 57, 64]",[],[],[],[]
2,9.27,10,False,803,576,-4,8,[],[],[],[],"[690, 1324, 1252, 269, 1014]","[690, 1324, 1252, 269, 1014]","[-303, -166, 244, 36, -40]","[65, 100, 37, 84, -20]","[827, 1352, 1209, 354, 1022]","[726, 687, 770, 620, 823]","[4, -5, -4, 5, -5]","[-4, 0, -3, -1, -2]"
3,9.6,10,False,715,576,-4,8,[783],[703],[-3],[4],"[550, 1220, 1313, 285, 971]","[550, 1220, 1313, 285, 971]","[-305, -298, 109, 96, -120]","[25, 80, -3, 81, -60]","[907, 1252, 1129, 454, 922]","[646, 687, 710, 600, 769]","[4, -5, -4, 5, -5]","[-4, 0, -3, -1, -3]"
4,9.93,10,False,728,478,4,-8,[726],[800],[-2],[5],"[426, 1066, 1317, 327, 900]","[426, 1066, 1317, 327, 900]","[-278, -406, -31, 156, -181]","[-15, 60, -43, 61, -87]","[974, 1152, 1049, 554, 822]","[566, 687, 650, 580, 709]","[3, -5, -4, 5, -5]","[-4, 0, -3, -1, -3]"
5,10.27,10,False,833,337,0,0,[],[],[],[],"[314, 877, 1265, 393, 806]","[314, 877, 1265, 393, 806]","[-228, -477, -171, 210, -229]","[-49, 40, -74, 41, -107]","[1034, 1052, 969, 654, 722, 560, 1056, 1265, 474, 863]","[486, 687, 590, 560, 649, 733, 637, 787, 689, 658]","[3, -5, -4, 5, -5, 5, -2, -5, 5, -4]","[-4, 0, -3, -1, -3, -2, -5, 0, 0, -4]"
6,10.61,10,False,734,311,-9,-1,[],[],[],[],"[225, 668, 1162, 473, 699]","[225, 668, 1162, 473, 699]","[-158, -509, -290, 249, -257]","[-69, 20, -94, 21, -116]","[1094, 952, 889, 754, 636, 660, 1016, 1165, 574, 789]","[406, 667, 530, 540, 589, 693, 537, 769, 672, 578]","[3, -5, -4, 5, -4, 5, -2, -5, 5, -3]","[-4, -1, -3, -1, -3, -2, -5, -1, -1, -4]"
7,10.95,10,False,554,300,-9,0,[],[],[],[],"[172, 456, 1017, 573, 583]","[172, 456, 1017, 573, 583]","[-58, -478, -364, 289, -243]","[-69, 20, -92, 21, -96]","[1154, 852, 809, 854, 556, 760, 976, 1065, 674, 729, 289, 562, 1083, 583, 730]","[321, 647, 470, 516, 529, 653, 437, 749, 651, 498, 681, 692, 681, 640, 612]","[3, -5, -4, 5, -4, 5, -2, -5, 5, -3, 5, -2, -5, 2, 5]","[-5, -1, -3, -2, -3, -2, -5, -1, -2, -4, -2, -5, 0, -5, -2]"
8,11.3,10,False,411,376,-8,5,[],[],[],[],"[168, 273, 857, 688, 488]","[168, 273, 857, 688, 488]","[79, -388, -390, 326, -186]","[-37, 40, -52, 41, -56]","[1200, 752, 729, 954, 476, 860, 927, 965, 774, 669, 389, 522, 983, 623, 821]","[221, 627, 410, 476, 469, 613, 337, 729, 611, 418, 641, 592, 681, 540, 562]","[2, -5, -4, 5, -4, 5, -3, -5, 5, -3, 5, -2, -5, 2, 4]","[-5, -1, -3, -2, -3, -2, -5, -1, -2, -4, -2, -5, 0, -5, -3]"
9,11.64,10,False,396,289,3,-9,[],[],[],[],"[215, 133, 697, 808, 418]","[215, 133, 697, 808, 418]","[200, -264, -382, 340, -111]","[3, 60, -12, 61, -16]","[1232, 652, 649, 1054, 396, 960, 867, 865, 870, 591, 489, 482, 883, 663, 874]","[121, 607, 350, 436, 409, 573, 252, 709, 561, 338, 601, 492, 668, 440, 474]","[1, -5, -4, 5, -4, 5, -3, -5, 4, -4, 5, -2, -5, 2, 1]","[-5, -1, -3, -2, -3, -2, -4, -1, -3, -4, -2, -5, -1, -5, -5]"
10,12.0,10,False,443,268,9,3,[],[],[],[],"[310, 48, 540, 928, 381]","[310, 48, 540, 928, 381]","[313, -118, -343, 331, -31]","[43, 63, 28, 81, 24]","[1242, 552, 569, 1154, 316, 1060, 807, 765, 950, 511, 589, 442, 783, 703, 871, 254, 247, 688, 794, 532]","[21, 587, 290, 396, 349, 523, 172, 689, 493, 258, 561, 392, 648, 340, 374, 519, 699, 515, 628, 540]","[0, -5, -4, 5, -4, 5, -3, -5, 4, -4, 5, -2, -5, 2, -1, 0, 4, -2, -3, 3]","[-5, -1, -3, -2, -3, -3, -4, -1, -4, -4, -2, -5, -1, -5, -5, -5, -3, -5, -4, -4]"
11,12.35,10,False,597,320,9,0,[],[],[],[],"[444, 24, 407, 1047, 374]","[444, 24, 407, 1047, 374]","[403, 42, -274, 298, 49]","[83, 63, 68, 101, 64]","[452, 489, 1254, 236, 1150, 736, 665, 1009, 431, 689, 412, 683, 743, 826, 254, 327, 648, 734, 592]","[567, 230, 356, 289, 463, 92, 669, 408, 178, 511, 292, 628, 240, 280, 419, 639, 415, 548, 460]","[-5, -4, 5, -4, 4, -4, -5, 2, -4, 5, -1, -5, 2, -3, 0, 4, -2, -3, 3]","[-1, -3, -2, -3, -3, -4, -1, -5, -4, -3, -5, -1, -5, -4, -5, -3, -5, -4, -4]"
